review_id,date,product,stars,text,label
R0001,2025-09-30,Smartwatch S,2,The Smartwatch S has unreliable connection. I do not like it.,NEG
R0002,2025-09-13,Headphones Lite,5,The Headphones Lite has sound quality is amazing. I love it.,POS
R0003,2025-09-29,Laptop Pro,4,The Laptop Pro has value for money. I love it.,POS
R0004,2025-09-24,Smartwatch S,3,The Smartwatch S has unreliable connection. I do not like it.,NEG
R0005,2025-09-21,Headphones Lite,4,The Headphones Lite has sound quality is amazing. I love it.,POS
R0006,2025-09-06,Smartwatch S,1,The Smartwatch S has battery drains fast. I do not like it.,NEG
R0007,2025-09-12,Smartwatch S,4,The Smartwatch S has value for money. I love it.,POS
R0008,2025-09-16,Laptop Pro,3,The Laptop Pro has customer support was unhelpful. I do not like it.,NEG
R0009,2025-09-03,Phone X,2,The Phone X has battery drains fast. I do not like it.,NEG
R0010,2025-09-12,Smartwatch S,3,The Smartwatch S has overheats easily. I do not like it.,NEG
R0011,2025-09-15,Phone X,1,The Phone X has too expensive. I do not like it.,NEG
R0012,2025-09-10,Phone X,4,The Phone X has comfortable to use. I love it.,POS
R0013,2025-09-15,Phone X,3,The Phone X has value for money. I love it.,POS
R0014,2025-09-06,Headphones Lite,3,The Headphones Lite has poor build quality. I do not like it.,NEG
R0015,2025-09-04,Phone X,5,The Phone X has battery drains fast. I do not like it.,NEG
R0016,2025-09-10,Smartwatch S,5,The Smartwatch S has fast and responsive. I love it.,POS
R0017,2025-09-27,Phone X,3,The Phone X has customer support was unhelpful. I do not like it.,NEG
R0018,2025-09-25,Laptop Pro,4,The Laptop Pro has poor build quality. I do not like it.,NEG
R0019,2025-09-04,Laptop Pro,4,The Laptop Pro has customer support was unhelpful. I do not like it.,NEG
R0020,2025-09-26,Phone X,5,The Phone X has battery drains fast. I do not like it.,NEG
R0021,2025-09-19,Smartwatch S,1,The Smartwatch S has customer support was unhelpful. I do not like it.,NEG
R0022,2025-09-18,Headphones Lite,2,The Headphones Lite has battery drains fast. I do not like it.,NEG
R0023,2025-09-05,Laptop Pro,2,The Laptop Pro has overheats easily. I do not like it.,NEG
R0024,2025-09-07,Phone X,3,The Phone X has value for money. I love it.,POS
R0025,2025-10-01,Headphones Lite,5,The Headphones Lite has unreliable connection. I do not like it.,NEG
R0026,2025-09-22,Phone X,5,The Phone X has fast and responsive. I love it.,POS
R0027,2025-09-05,Phone X,5,The Phone X has great battery life. I love it.,POS
R0028,2025-09-04,Headphones Lite,2,The Headphones Lite has customer support was unhelpful. I do not like it.,NEG
R0029,2025-09-27,Phone X,5,The Phone X has value for money. I love it.,POS
R0030,2025-09-13,Headphones Lite,5,The Headphones Lite has excellent camera. I love it.,POS
R0031,2025-09-19,Laptop Pro,3,The Laptop Pro has battery drains fast. I do not like it.,NEG
R0032,2025-09-24,Laptop Pro,2,The Laptop Pro has battery drains fast. I do not like it.,NEG
